record_id,auditor,university,go8,def_res_integrity,def_res_integrity_text,def_res_quality,def_res_quality_text,def_res_misconduct,def_res_misconduct_text,comment_definitions,ethics_human,ethics_animal,comment_ethics,protocol_rct,comment_protocol_rct,protocol_other,comment_protocol_other,protocol_analy,comment_protocol_analy,open_data,comment_open_data,open_code,comment_open_code,open_publish,comment_open_publish,funding_open_access,report_guide,comment_report_guide,coi,comment_coi,training,comment_training,fabricate_data,select_data,select_results,p_hacking,harking,comment_misbehaviours,codes_of_conduct_review_final_complete
1,Y.K,"The University of Adelaide",1,0,,0,,2,"In the research misconduct procedure definitions: A serious Breach of the Code which is also intentional or reckless or negligent. Repeated or continuing findings of Breaches of the Code may also constitute Research Misconduct. Research Misconduct does not include honest differences in judgement.","The Responsible Conduct of Research Policy has no definitions with regards to research integrity or research quality, only a brief mention that they broadly endorses the principles in the Code",1,1,"In the Responsible Conduct of Research Policy, there is no details as to which kind of research requires ethics approval.  Specific mentioning of animal and human ethics approval stated in the research student handbook. ",0,,0,,0,,3,"Research Data and Primary Materials Policy:  Policy Principle 11. Data Access and Re-use  The University is committed to enabling open access to its scholarly output. Where the University is the owner of research data, it will make the data-sets available under the Creative Commons CC-BY licence v4.0 unless:   this is prevented by the requirements of legislation or University policy, ethics approvals, ethical, cultural, contractual or confidentiality obligations; or   the research data is comprised of sensitive data that cannot be appropriately de- identified, or is subject to an embargo.",0,,0,"Research data and primary materials policy  Furthermore there is an increasing expectation and, in some cases a formal requirement, from the community, government, publishers and grant funding agencies that publicly funded research should provide outcomes and data that are, where ethically and legally possible, made openly accessible to the research community.",,0,,3,"Conflict of interest procedure  requires the disclosure of conflicts of interest.",3,"2021 Research student handbook  In brief, satisfactory completion requires that you have:  • completed training in research integrity and have an understanding of University and Australian policies on the responsible conduct of research, including avoiding plagiarism  (For research students only)",3,2,2,0,0,"Research Misconduct procedure.  1.1 The principles of procedural fairness will be applied to the management and investigation of potential Breaches of the Code.    A failure to meet the principles and responsibilities of the Code. This may refer to a single or multiple breaches. Examples of Breaches include fabrication, falsification or misrepresentation of research data; plagiarism; inappropriate maintenance of research records, inadequate supervision or mentoring; conducting research without necessary ethical approvals; and misleading ascription of authorship.  ",0
2,Y.K,"Australian Catholic University",0,0,,0,,2,"Research misconduct is a serious breach of the RCoC which is also intentional or reckless or negligent. Repeated or persistent breaches, even those that individually are deemed to be minor, may also constitute research misconduct. Honest errors and differences in judgement do not generally constitute research misconduct, except where they result from recklessness and/or negligence. Finding that a breach or breaches meets the definition of 'research misconduct' can assist in determining the appropriate course of action, and trigger associated processes, including disciplinary action.",,1,1,"Reseach code of conduct  It is noted that non-compliance can occur at any stage of the research lifecycle. This includes but is not limited to:  - Ethics applications;  Describes proceeding without the necessary approvals as a breach of the research code but has no mention of human ethics or animal ethics approvals.  Only mentions risking the well being of animals and the safety of human participants as a breach of the code. ",0,,0,,0,,0,"Research Data Management Policy 1.7:   To optimise research outcomes, Research Data must be: Held in appropriate, University approved facilities that allow access to be managed as required; and,  • Made accessible for use and reuse, and/or disposed of, according to legal, statutory, ethical and funding bodies' requirements.",0,,2,"In Research publication Policy:   It is also necessary to comply with recent policy changes announced by the ARC and NHMRC. Both policies stipulate that publication metadata must be submitted to the institutional repository as soon as possible after the paper is accepted for publication, and that publications arising from funded research be deposited into an open access repository within 12 months from the date of publication.",0,0,"In research publication policy:  Faculties and discipline areas have a responsibility to ensure that the research publication outputs meet appropriate definitional and quality standards. The ODVCR is responsible for compiling the HERDC and ERA publications information and for establishing information collection procedures.",3,"In research code of conduct:  - Failure to manage CoI is listed as a breach of the code.   More information should be found on the ACU Policy on Conflicts of Interest in Research which cannot be found on ACU policies website or through Google search.",2,"In the HDR supervision policy: 14.1. HDR supervisors (Full and Provisional) are expected to develop their supervision skills through participation in University training programs, supervision training programs and through the practice of supervision.    ",3,2,2,0,0,"Research Code of Conduct:  Failure to comply with, or deviation from, the RCoC and any associated legislation, policies or guidelines, constitutes a breach of the RCoC. Examples of breaches include but are not limited to:- Fabrication, falsification, misrepresentation and plagiarism;",0
3,Y.K,"Australian National University ",1,1,,1,,2,"Research misconduct means significant behaviour that improperly appropriates the intellectual property or contributions of others, that intentionally impedes the progress of research, or that risks corrupting the research record or compromising the integrity of research practices, including such behaviours that are unethical and unacceptable in proposing, conducting or reporting research, or in reviewing the proposals or research reports of others.","With regards to research integrity and quality, the responsible conduct of research policy defaults to brief mentions of the principles listed in the code, such as Honesty, Rigour and Transparency. No specific definition. ",1,1,"  Conduct of research policy  1.ANU researchers:  obtain any necessary written approvals from appropriate ethics committees, safety and other regulatory bodies, prior to commencing research and as required by University policies or those of a funding body or overseas legislation, and comply with their requirements of approved protocols at all times;  Specific reference to animal and human ethics committees found on the relative ethics webpages. ",3,"Conduct of Research Policy  19. ANU researchers register clinical trials with a recognised register to promote access to information about all clinical trials.  20. Requirements covered in Ethics, Permits and other Approvals apply to clinical trials.",0,,0,,2,"Responsible Conduct of Research.  12. Retain clear, accurate, secure and complete records of all research including research data and primary materials for an appropriate period of time. Where possible and appropriate, allow access and reference to these by interested parties.",0,,3,"Open Access Policy  University repositories will contain research outputs that are made available via open access as well as research outputs that will not be immediately available to the public.    1. The University requires a copy of the following research outputs to be deposited in the University research repository:  a. Journal and conference publications, technical reports and other original, substantial works 􏰁 within 3 months or as promptly as possible after publication    17.The University supports researchers through:  a. The University's Press which is fully open access",1,0,,3,"Responsible Conduct of Research  17. Disclose actual, potential or perceived conflicts of interest and ensure these are  managed effectively.",3,"Responsible Conduct of Research  ANU Researchers are to:   4. Undertake and promote education and training in the responsible conduct of research.    Conduct of Research Policy  ANU researchers, particularly supervisors of higher degree by research students:  􏰂 ensure effective and timely training of research trainees under their supervision. Training encompasses discipline-based research methods, ethics and other relevant skills, such as the ability to interact with users, research subjects, industry and diverse communities;",0,0,0,0,0,,0
4,Y.K,"Bond University",0,1,,0,,2,"Research misconduct is a failure to adhere to high standards of professional conduct and integrity and to the principles contained in this Policy, the Research Misconduct Policy, and the principles of the National Code.","With research integrity, it is mentioned that researchers need to adhere to the highest standards of integrity as well as adhere to the principles in the Code, mentioning honesty, justice, truth and respect. However, no specific definition noted. ",1,1,"Research Code of Conduct  2.7. Where research procedures require approval by a human or animal research ethics committee, by a biosafety committee, or any other regulatory committee, such research must not proceed without approval from the relevant Committee.",0,,0,,0,,3,"Research Data and Management and Sharing  7.1.Chief Investigators or research supervisors (with the consent of their research student(s) where required) should make completed research Datasets openly available for re-use by other Researchers, unless this is prevented by the requirements of legislation or University policy, or ethical, contractual, or confidentiality obligations.    Open Access Policy  1.2 Where possible, material representing the total publicly available research and scholarly output of the University is to be deposited in the University's open access digital repository, including:  1. Research publications and associated data which are outputs of an ARC, NHMRC or other public funding agency grant, with metadata in the institutional repository no later than 12 months from publication  2. Full-text refereed research articles that have been peer-reviewed but not yet published (The 'Accepted Version' or post-print).  3. Full-text articles/papers in Word format that have been submitted to a publisher (The 'Submitted Version' or pre-print).  4. Un-refereed research literature and media including, conference papers, presentations, videos, posters and other digital outputs.  5. Higher Degree Research (HDR) theses (except for where an embargo is in place). Theses can be made available under a Creative Commons Non-commercial No Derivatives licence, unless a more liberal Creative Commons licence is requested.  ",0,,2,"  Open Access Policy  1.2 Where possible, material representing the total publicly available research and scholarly output of the University is to be deposited in the University's open access digital repository, including:  1. Research publications and associated data which are outputs of an ARC, NHMRC or other public funding agency grant, with metadata in the institutional repository no later than 12 months from publication  2. Full-text refereed research articles that have been peer-reviewed but not yet published (The 'Accepted Version' or post-print).  3. Full-text articles/papers in Word format that have been submitted to a publisher (The 'Submitted Version' or pre-print).  4. Un-refereed research literature and media including, conference papers, presentations, videos, posters and other digital outputs.  5. Higher Degree Research (HDR) theses (except for where an embargo is in place). Theses can be made available under a Creative Commons Non-commercial No Derivatives licence, unless a more liberal Creative Commons licence is requested.  6. Research data which can be described and made openly available under licence, or via negotiated or controlled access (see the Research Data Management & Sharing Policy Clause 7).    Open Access Policy  1.7 Use of external grant funding or discretionary University, Faculty, or Research Centre funding may be provided to cover the publishing costs i.e. Article Processing Charges, of accepted open access publications.",1,2,"Responsible Code of Conduct  2.12. Bond University endorses the EQUATOR Network reporting guidelines for health research.",3,"Responsible Code of Conduct  The responsible conduct of research requires disclosure of any potential conflict of interest whether real or perceived.",2,"Research Code of Conduct  Each research student should be provided with training to inform them of current government and University policies for the conduct of research, including those which deal with ethical requirements for research involving human and animal subjects; intellectual property; requirements for confidentiality; and occupational health and safety matters.    Doesn't mention that training is mandatory and is only encouraged.",3,2,2,0,0,"Research Misconduct Policy  Examples of Research Misconduct include, but are not limited to, the following:a) fabrication of results;  b) falsification or misrepresentation of results;  c) plagiarism or deception in proposing, carrying out or reporting the results of research;",0
5,Y.K,"University of Canberra",0,2,"Honesty: at all stages of the research process, information presented will be truthful and accurate, and any claims made justifiable;Respect and Fairness: all human participants, animals used in research, as well as communities and the environment affected by the research will be treated with care and respect.In addition, all researchers involved in the conduct of research will be treated fairly;Accountability: all researchers will take responsibility for the research they conduct and report on, ensuring compliance with all relevant requirements, including policies, regulation and legislation, and agreements entered into;",2,"Care: research will be conducted with a high degree of rigour, characterised by robust design, attention to detail, thoroughness and objectivity in reporting, and transparency in disclosing interests;",2,"3.5 Research misconduct is a serious research conduct breach, which is also intentional or reckless or negligent.","Responsible Conduct of Research Policy    Procedures for dealing with complaints about breaches",1,1,"Guidelines Compliance with Regulation policy.   2.1 All research involving humans as subjects or participants, including use of their body organs, tissues or fluids, must adhere to the National Statement on Ethical Conduct in Human Research. In most cases, compliance will entail researchers having to seek approval for the conduct of their projects through the Human Research Ethics Committee (HREC);  3.1 All projects undertaken at the University that involve the use of animals either for research, teaching or other experimental study must be approved by the Animal Ethics Committee (AEC);",0,,0,,0,,2,"Management of Research Data and Primary matters:   5.Data Sharing, Reuse and Collaborative Arrangements  5.1. Unless it is prevented by ethical, privacy, or confidentiality matters, consideration must be given to the availability of data for use by other researchers for further research as well as availability via open access or controlled access.  ",0,,2,"Guidelines for the Dissemination of Research Findings:   2.8 Where it is a funding requirement, researchers must ensure that their research findings are available via open access.",0,0,,3,"Responsible Conduct of Research  3.10 Researchers will disclose any actual, perceived or potential conflicts of interest. Failure to do so will often compromise the integrity and trustworthiness of any work they undertake as part of the research process, including proposal development, research, publication, and review activity;",2,"Responsible Conduct of Research  3.3 The University will provide appropriate training for all members of the University research community in research integrity and research ethics;  The completion of Research Integrity training will be a mandatory requirement for all new academic staff as well as HDR students.  Research Integrity training will also be recommended for existing academic staff;",3,2,3,0,0,"In Procedures for Dealing with Complaints about Breaches of the Responsible Conduct of Research  3.3 Research conduct breaches fall on a broad spectrum, ranging from minor (less serious) to major (more serious, including intentional, reckless or negligent behaviour). Examples, which are detailed in Appendix A, fall into the following categories: failure to meet required research standards; fabrication, falsification, misrepresentation; plagiarism; research data management; supervision; authorship; conflicts of interest; peer review.    In Guidelines for the Dissemination of Research Findings  2.2 Researchers have a responsibility to exercise honesty and rigour at all times, which includes observing the following practices: disseminating a full and accurate account of their research, including negative and neutral findings, and results contrary to hypotheses;  ",0
6,Y.K,"Curtin University ",0,0,,0,,2,"A breach of The Code is defined as ""a failure to meet the principles and responsibilities of the Code, and may refer to a single breach or multiple breaches"". Breaches of The Code may be considered misconduct or serious misconduct for staff as described in the Curtin University Academic, Professional and General Staff Enterprise Agreement, or misconduct for students as described in Statute No. 10 - Student Discipline for students.",,1,1,"Found in the research management policy 2.15 and 2.16 ",0,,0,,0,,3,"Research Data and Primary Materials Policy  3.6.1 Research data will be made as open as possible and closed as necessary, in accordance with the Authorship, Peer Review and Publication of Research Outputs Policy,",0,,2,"Authorship Peer Review and Publication of Research Outputs Policy  Curtin requires the following research outputs will be made openly available after publication, subject to publisher permissions, via Curtin's institutional repository as soon as possible; or via peer reviewed open access journal publications, conference proceedings, book or book chapters, and other outlets where appropriate:    Other research outputs are only encouraged to be published on open access platforms. ",0,0,,3,"Responsible Conduct of Research. Conflict of interest Procedures  Breach of the code includes: Failure to disclose conflicts of interest.  Where an individual identifies that they have a competing private interest that may represent a conflict of interest, they will disclose that interest via the online Conflict of Interest Register as soon as practicable.",2,"Research Management Policy  Staff and Higher Degree by Research students undertaking research will complete the Research Integrity provided by the University within six months of appointment for staff or prior to completion of milestone 1 for Higher Degree by Research students",3,2,2,0,0,"Responsible Conduct of Research  3.4.3 Breaches of The Code include, but are not limited to, the following: Fabrication, falsification, misrepresentation  ",0
7,Y.K,"Deakin University",0,1,,0,,2,"serious research code breach: (previously known as 'research misconduct'): refers to more serious or deliberate research code breach that involves: i. intent or deliberation, recklessness or gross and persistent negligence; and/or ii. serious consequences, such as false information on the public record, or adverse effects on research participants, animals or the environment.",,1,1,"Research Conduct Policy  (12) Researchers will obtain written approval from the appropriate ethics committees, safety and other regulatory bodies, where relevant for:  a. Research using human participants, (including University staff or students) via the University's human research ethics approval process  b. Research using animals via the University's animal ethics research approval process  ",3,"Publication and Dissemination of Research Procedure  (9) Researchers will take all reasonable steps to ensure that disseminated research is accurate and properly reported by:  e. registering all clinical trials with a recognised register in order to promote access to such information",0,,0,,0,"Research data and Primary Materials   (23) Researchers should make research data available for the use by other researchers unless the research data should not be shared due to legal, privacy or confidentiality matters, subject to ethical approval and agreements with research participants.",0,,3,"Publication and Dissemination of Research procedure  (17) All research publications will be made available to anyone on the web, except where this is restricted by copyright law, publisher policy or embargo. If researchers wish material to not be made publicly available they must gain written permission from the Deputy Vice-Chancellor Research for it to be confidential.",0,0,,3,"Research Conduct Policy  (31) Researchers will disclose and manage any actual, potential or perceived conflicts of interest in the course of research according to the Code and Conflict of Interest procedure.",2,"Research Conduct Policy   (23) Supervisors are responsible for ensuring that research students under their supervision meet relevant research integrity compliance obligations. Supervisors will train, mentor, support and provide oversight of research outcomes according to the Code and the Higher Degrees by Research (HDR) Supervision procedure. Supervisors are responsible for the health and safety of any student or staff involved in or affected by the research.  (24) Research students will participate in induction and training in the responsible conduct of research and comply with the University's Higher Degrees by Research (HDR) policy.",3,2,2,0,0,"Research Integrity Breaches Procedure  A serious research code breach includes fabrication, falsification, plagiarism or deception in proposing, carrying out or reporting the results of research, and failure to declare or manage a serious conflict of interest. ",0
8,Y.K,"Flinders University",0,2,"Research Integrity Policy. Schedule 1: P1 Honesty in the development, undertaking and reporting of research • Present information truthfully and accurately in proposing, conducting and reporting research.P3 Transparency in declaring interests and reporting research methodology, data and findings • Share and communicate research methodology, data and findings openly, responsibly and accurately. • Disclose and manage conflicts of interest. P4 Fairness in the treatment of others • Treat fellow researchers and others involved in theresearch fairly and with respect. • Appropriately reference and cite the work of others. • Give credit, including authorship where appropriate, to those who have contributed to the research. P5 Respect for research participants, the wider community, animals and the environment • Treat human participants and communities that are affected by the research with care and respect, giving appropriate consideration to the needs of minority groups or vulnerable people. • Ensure that respect underpins all decisions and actions related to the care and use of animals in research. • Minimise adverse effects of the research on the environment.",2,"Research Integrity Policy Schedule 1: P2 Rigour in the development, undertaking and reporting of research • Underpin research by attention to detail and robust methodology, avoiding or acknowledging biases.",2,"Research Integrity Policy section 5.b: A serious breach which is also intentional, reckless or negligent will be regarded as Research Misconduct.",,1,1,"Located on websites for human ethics and animal ethics.",3,"Research publication, authorship and peer review policy  5.3.2 Researchers must register clinical trials with the Australian New Zealand Clinical Trials Registry prior to the commencement of the clinical research.",0,,0,,2,"Management of Research Data and Primary Materials Policy  3.4.3 At the completion of a project, or suitable project phase, research data should normally be made available under an open access licence (such as a Creative Commons licence) or by controlled access through a system of permissions and authentications, in accordance with relevant contractual and other requirements.",0,,3,"Research publication, authorship and peer review policy  Publications will be made freely available as soon as possible, subject to relevant legal and contractual requirements, including those of funding bodies and publishers, via the University's open access repository.",0,0,,3,"Conflict of Interest policy  4.1 All staff members must disclose and record on the University's Conflict of Interest Register (hereafter referred to as 'the Register') any actual, potential or perceived conflicts of interest as soon as they become aware of any such conflict.",2,"Research Integrity Policy   :R16 Undertake and promote education and training in responsible research conduct.",3,2,2,0,0,"Research Integrity Policy   Schedule 2  Examples of breaches of the Code include, but are not limited to, the following:  ii. Fabrication, falsification, misrepresentation  • Fabrication of research data or source material  • Falsification of research data or source material  • Misrepresentation of research data or source material  • Falsification and/or misrepresentation to obtain funding",0
9,Y.K,"Griffith University ",0,0,,0,,2,"Research Integrity Breach Investigation Procedure: Research Misconduct means major, serious breach(es) of the Code, including intentional or reckless or negligent behaviour. Repeated or persistent breaches will likely constitute a serious breach (the Guide, Section 2.2). Research misconduct is considered serious misconduct within the Griffith University Academic Staff Enterprise Agreement 2017-2021 and the Griffith University Professional and Support Staff Enterprise Agreement 2017-2021 (See Part 1, Clause 10).",,1,1,"GU's primary webpage for human research ethics : All proposed human research at Griffith must undergo an ethical review and gain ethical clearance before any work commences, unless the project is outside the scope of the University's human research arrangements. Starting a project without authorisation is a serious ethical concern and may initiate breach proceedings as per the Griffith Code for the Responsible Conduct of Research.      Guidelines for Animal Care and Use in Teaching and Research: Any Griffith University staff member or student who wishes to use legally defined animals or tissue at Griffith University, at another institution or in the field, for scientific purposes is required to obtain written animal ethics approval prior to any acquirement, breeding or use of animals. No animal may be held, bred or used for any scientific purpose until written approval has been obtained from the AEC.  ",1,"GUREM Booklet 13, Section 14.0  Paragraph 3.1.7 of the National  Statement specifies that before commencing the clinical phase of a trial the researchers must ensure that the trial appears in a publically accessible registry.",0,,0,,0,,0,,0,,,0,,3,"Conflict of Interest Policy:  all conflicts of interest, regardless of their character or level, will be identified, disclosed and  managed",2,"Code of Practice for the Supervision of Higher Degree Research Candidates:  candidates are encouraged to participate in training and other activities (seminars, forums) offered within the University",3,2,2,0,0,"Breach means behaviour by a researcher that fails to meet the principles or responsibilities of the Code, or fails to comply with relevant policies or legislation. This may refer to a single breach or multiple breaches. Examples of breaches of the Code include, but are not limited to, fabrication, falsification or misrepresentation of research data; plagiarism; inappropriate maintenance of research records; inadequate supervision or mentoring; conducting research without necessary ethical approvals; and misleading ascription of authorship.",0
10,Y.K,"James Cook University",0,2,"Code for the Responsible Conduct of Research: Honesty in the development, undertaking and reporting of research Present information truthfully and accurately in proposing, conducting and reporting research. Transparency in declaring interests and reporting research methodology, data and findings Share and communicate research methodology, data and findings openly, responsibly and accurately. Disclose and manage conflicts of interest.",2,"Code for the Responsible Conduct of Research: Rigour in the development, undertaking and reporting of research Underpin research by attention to detail and robust methodology, avoiding or acknowledging biases.",2,"Managing and Investigating Potential Breaches of the JCU Code for the Responsible Conduct of Research Procedure: Research misconduct is a serious breach of the Research Code when it is also: a. intentional or b. reckless or c. negligent.  5/15 Research misconduct does not include honest differences in judgement. Unintentional errors do not constitute research misconduct unless they result from behaviour that is reckless or negligent. Repeated or persistent breaches will likely constitute a serious breach, which may be regarded as Research Misconduct.",,1,1,"Code for the Responsible Conduct of Research:   Comply with the relevant laws, regulations, disciplinary standards, ethics guidelines and institutional policies related to responsible research conduct. Ensure that appropriate approvals are obtained prior to the commencement of research, and that conditions of any approvals are adhered to during the course of research.  But not specific to the human or animal ethics committee.",3,"Publication and Dissemination of Research Procedure:  In relation to clinical trial and cohort studies involving participants or health interventions, the trial must be registered on a publicly accessible register complying with international standards before the recruitment of the first participant;",2,"Publication and Dissemination of Research Procedure:  if appropriate, researchers should consider registering research plans or protocols prior to the commencement of research.",2,"Publication and Dissemination of Research Procedure:  if appropriate, researchers should consider registering research plans or protocols prior to the commencement of research.",2,"Publication and Dissemination of Research Procedure:  Researchers have a responsibility to their colleagues and the wider community to disseminate a full and transparent account of their research as broadly as possible,",0,,2,"Publication and Dissemination of Research Procedure:  Researchers should communicate their research findings in easily accessible forms to the widest appropriate audiences, including research end-users such as government, industry, not-for-profit organisations, consumers and the general public.",1,0,,3,"Code for the Responsible Conduct of Research:  There are sixteen researcher responsibilities of the Research Code, which researchers must comply with as follows:  Responsibility 24: Disclose and manage actual, potential or perceived conflicts of interest.  ",3,"Code for the Responsible Conduct of Research:  There are sixteen researcher responsibilities of the Research Code, which researchers must comply with as follows:  Responsibility 16: Undertake and promote education and training in responsible research conduct.",3,2,3,0,0,"Managing and Investigating Potential Breaches of the JCU Code for the Responsible Conduct of Research Procedure:  Examples of breaches of the Code by a researcher include, but are not limited to, the following:  Fabrication, falsification, misrepresentation  Fabrication of research data or source material; Falsification of research data or source material; Misrepresentation of research data or source material; Falsification and/or misrepresentation to obtain funding.    Publication and Dissemination of Research Procedure:  Researchers have a responsibility to their colleagues and the wider community to disseminate a full and transparent account of their research as broadly as possible, including but not limited to: the account must be complete, and, where applicable, include negative findings and results contrary to their hypotheses;",0
11,Y.K,"Macquarie University",0,1,,1,,2,"Macquarie University Code for the Responsible Conduct of Research: 5.1 A breach of the Macquarie Research Code which is considered serious and is also intentional or reckless or negligent may be considered research misconduct. ",,1,1,"Macquarie University Code for the Responsible conduct of research:  3.4 Comply with the relevant laws, regulations, disciplinary standrads, ethics guidelines and institutional policies related to responsible research conduct. Ensure that appropriate research approvals are obtained prior to the commencement of research, and that conditions of any approvals are adhered to during research.     3.5 Ensure that the ethics principles of research merit and integrity, justice, beneficence and respect are applied to human research as set out in the National Statement on Ethical Conduct in Human Research.",0,,0,,0,,2,"In Research data management standards:  8. Subject to ethical, contractual and legal limitations, researchers are encouraged to make available to other researchers data, records and materials for wider use;",0,,3,"Open Access Policy:   (6) All refereed, revised, final draft research manuscripts will be deposited in the Macquarie University Digital Repository, Macquarie University ResearchOnline, after their acceptance for publication. Books or chapters in books may be self-archived at the author's discretion    (8) The publisher version will be the version made publicly available in the Macquarie University Digital Repository Macquarie University ResearchOnline, where there is agreement from the publisher for this version to be made open access. ",1,0,,3," Macquarie University Code for the Responsible conduct of research.     3.11 Disclose and manage actual, potential or perceived conflicts of interest.",3,"Macquarie University Code for the Responsible conduct of research.   3.3 Researchers must undertake and promote education and training in responsible research conduct. ",3,3,2,0,0,"Examples of breaches of the Macquarie Research Code include, but are not limited to, the following:ii. Fabrication, falsification, misrepresentation  • Fabrication of research data or source material  • Falsification of research data or source material  • Misrepresentation of research data or source material  • Falsification and/or misrepresentation to obtain funding    iv. Research data management   Inappropriate destruction of research records, research data and/or source  material  ",0
